Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Once Caldas,1.36,0.94,0.42,1.27,0.94,0.33,0.09,0.00,0.09,1.36,0.94,0.42,1,1,0,-0.42,58.50,59.44,50.74,0.87,0.62,284,16,16,12,18.39,19.35,20.73,2,3,27,8,9,144.2,74.95,27.4,23.83,81.87,58.01,1,Once Caldas 1-1 Independiente Santa Fe,2026-01-25
Junior,2.07,2.64,-0.57,1.88,1.23,0.65,0.19,1.40,-1.21,2.07,2.64,-0.57,2,1,1,1.57,44.60,39.87,49.52,0.65,1.14,176,8,15,17,23.08,14.91,13.25,2,1,10,4,9,66.1,33.4,57.6,66.98,75.37,51.19,0,Millonarios 1-2 Junior,2026-01-25
Millonarios,2.64,2.07,0.57,1.23,1.88,-0.65,1.40,0.19,1.21,2.64,2.07,0.57,1,2,-1,-1.57,55.40,60.13,51.53,1.14,0.65,230,22,17,15,14.91,23.08,16.39,1,2,28,9,12,131.8,66.6,28.4,33.02,71.87,48.81,2,Millonarios 1-2 Junior,2026-01-25
Deportivo Pasto,1.57,2.00,-0.43,0.81,1.86,-1.05,0.00,0.14,-0.14,0.81,2.00,-1.19,2,1,1,1.43,53.60,46.92,45.75,0.65,1.28,159,9,9,17,13.85,13.28,7.06,6,4,13,1,15,40.6,32.74,15.4,29.06,35.4,34.74,6,Águilas Doradas 1-2 Deportivo Pasto,2026-01-25
Águilas Doradas,2.00,1.57,0.43,1.86,0.81,1.05,0.14,0.00,0.14,2.00,0.81,1.19,1,2,-1,-1.43,46.40,53.08,47.74,1.28,0.65,147,15,17,9,13.28,13.85,7.09,4,6,25,8,15,83.4,67.26,37.6,70.94,66.5,65.26,7,Águilas Doradas 1-2 Deportivo Pasto,2026-01-25
América de Cali,0.73,0.35,0.38,0.72,0.24,0.48,0.02,0.11,-0.09,0.73,0.35,0.38,1,0,1,0.62,50.90,40.57,40.75,0.53,0.54,132,6,8,14,15.09,25.93,8.41,2,2,5,1,20,46.4,31.1,20.2,35.82,37.63,31.71,0,Boyacá Chicó 0-1 América de Cali,2026-01-24
Boyacá Chicó,0.35,0.73,-0.38,0.24,0.72,-0.48,0.11,0.02,0.09,0.35,0.73,-0.38,0,1,-1,-0.62,49.10,59.43,45.14,0.54,0.53,163,7,14,8,25.93,15.09,8.06,2,2,24,5,20,102.8,68.9,36.2,64.18,81.03,68.29,2,Boyacá Chicó 0-1 América de Cali,2026-01-24
Independiente Medellín,0.63,1.27,-0.64,0.63,0.49,0.14,0.00,0.01,-0.01,0.63,0.51,0.12,1,3,-2,-1.36,40.10,36.09,45.92,0.26,0.68,122,8,8,8,30.77,11.76,8.72,1,4,11,3,15,38.0,22.61,70.87,73.98,41.43,23.43,4,Deportivo Cali 3-1 Independiente Medellín,2026-01-24
Deportivo Cali,1.27,0.63,0.64,0.49,0.63,-0.14,0.01,0.00,0.01,0.51,0.63,-0.12,3,1,2,1.36,59.90,63.91,51.40,0.68,0.26,221,12,8,8,11.76,30.77,6.21,4,1,22,3,19,130.1,77.39,24.93,26.02,135.4,76.57,0,Deportivo Cali 3-1 Independiente Medellín,2026-01-24
Atlético Bucaramanga,1.67,0.74,0.93,1.66,0.74,0.92,0.01,0.00,0.01,1.67,0.74,0.93,1,1,0,-0.93,55.40,55.73,46.64,0.75,0.88,180,13,14,7,18.67,7.95,8.79,3,5,20,4,9,77.4,63.18,27.0,34.32,58.57,51.83,2,Llaneros 1-1 Atlético Bucaramanga,2026-01-24
