Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Rosario Central,2.66,1.08,1.58,1.59,0.98,0.61,0.31,0.10,0.21,1.90,1.08,0.82,1,2,-1,-2.58,50.70,59.64,47.85,0.59,0.66,191,11,18,14,30.51,21.21,11.19,3,5,22,4,6,120.5,62.31,60.6,47.59,140.73,65.54,0,Rosario Central 1-2 Belgrano,2026-01-24
Racing Club,1.49,2.48,-0.99,1.27,1.51,-0.24,0.21,0.97,-0.76,1.49,2.48,-0.99,1,2,-1,-0.01,73.80,67.44,48.63,0.75,0.67,286,17,13,7,17.33,10.45,5.29,4,2,19,5,15,130.5,75.52,1.0,0.67,31.27,19.66,4,Gimnasia La Plata 2-1 Racing Club,2026-01-24
Gimnasia La Plata,2.48,1.49,0.99,1.51,1.27,0.24,0.97,0.21,0.76,2.48,1.49,0.99,2,1,1,0.01,26.20,32.56,46.23,0.67,0.75,85,9,7,13,10.45,17.33,16.70,2,4,9,3,13,42.3,24.48,148.47,99.33,127.77,80.34,0,Gimnasia La Plata 2-1 Racing Club,2026-01-24
River Plate,2.83,0.54,2.29,2.78,0.45,2.33,0.06,0.10,-0.04,2.83,0.54,2.29,1,0,1,-1.29,66.70,66.77,51.74,1.26,0.22,285,13,20,11,15.87,50.0,5.53,6,1,23,6,9,191.9,89.93,15.0,13.98,143.57,79.2,0,Barracas Central 0-1 River Plate,2026-01-24
Barracas Central,0.54,2.83,-2.29,0.45,2.78,-2.33,0.10,0.06,0.04,0.54,2.83,-2.29,0,1,-1,1.29,33.30,33.23,45.68,0.22,1.26,111,7,11,20,50.0,15.87,15.75,1,6,17,6,15,21.5,10.07,92.33,86.02,37.7,20.8,3,Barracas Central 0-1 River Plate,2026-01-24
Atlético Tucumán,1.33,1.61,-0.28,0.50,1.58,-1.08,0.07,0.02,0.05,0.57,1.61,-1.04,1,2,-1,-0.72,57.40,64.49,49.09,0.52,0.19,159,7,14,11,26.92,57.89,7.23,4,4,15,3,11,107.7,72.77,12.13,32.56,102.8,65.39,1,Independiente Rivadavia 2-1 Atlético Tucumán,2026-01-23
Independiente Rivadavia,1.61,1.33,0.28,1.58,0.50,1.08,0.02,0.07,-0.05,1.61,0.57,1.04,2,1,1,0.72,42.60,35.51,43.57,0.19,0.52,97,6,11,14,57.89,26.92,7.66,4,4,13,1,13,40.3,27.23,25.13,67.44,54.4,34.61,1,Independiente Rivadavia 2-1 Atlético Tucumán,2026-01-23
Newell's Old Boys,0.87,2.86,-1.99,0.26,1.41,-1.15,0.61,1.45,-0.84,0.87,2.86,-1.99,1,2,-1,0.99,29.40,37.67,44.10,0.39,0.72,91,9,10,17,25.64,23.61,18.38,0,5,22,4,10,32.5,23.45,128.73,98.07,95.03,60.3,1,Talleres de Córdoba 2-1 Newell's Old Boys,2026-01-23
Talleres de Córdoba,2.86,0.87,1.99,1.41,0.26,1.15,1.45,0.61,0.84,2.86,0.87,1.99,2,1,1,-0.99,70.60,62.33,44.97,0.72,0.39,218,11,17,10,23.61,25.64,6.93,5,0,23,11,10,106.1,76.55,2.53,1.93,62.57,39.7,1,Talleres de Córdoba 2-1 Newell's Old Boys,2026-01-23
Estudiantes,1.55,0.70,0.85,1.44,0.52,0.92,0.12,0.18,-0.06,1.55,0.70,0.85,1,1,0,-0.85,58.50,45.42,46.82,0.99,0.79,209,10,11,13,11.11,16.46,7.74,6,5,17,5,10,70.2,51.17,13.8,12.19,34.87,22.84,0,Independiente 1-1 Estudiantes,2026-01-23
