Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Corinthians,0.15,2.56,-2.41,0.15,1.23,-1.08,0.0,0.57,-0.57,0.15,1.8,-1.65,1,0,1,3.41,44.1,37.1,40.76,0.1,0.43,110,1,4,19,40.0,44.19,16.74,1,6,2,0,10,13.7,9.33,67.6,68.84,31.37,28.2,0,Athletico Paranaense 0-1 Corinthians,2026-02-19
Athletico Paranaense,2.56,0.15,2.41,1.23,0.15,1.08,0.57,0.0,0.57,1.8,0.15,1.65,0,1,-1,-3.41,55.9,62.9,46.93,0.43,0.1,211,6,19,4,44.19,40.0,10.27,6,1,18,8,15,133.2,90.67,30.6,31.16,79.87,71.8,2,Athletico Paranaense 0-1 Corinthians,2026-02-19
Palmeiras,1.93,3.0,-1.07,1.85,2.16,-0.31,0.08,0.85,-0.77,1.93,3.0,-1.07,3,1,2,3.07,38.1,19.71,36.8,0.16,0.86,81,9,11,26,68.75,30.23,14.38,6,10,4,4,8,43.0,14.14,68.87,54.92,29.17,15.78,0,Internacional 1-3 Palmeiras,2026-02-12
Internacional,3.0,1.93,1.07,2.16,1.85,0.31,0.85,0.08,0.77,3.0,1.93,1.07,1,3,-2,-3.07,61.9,80.29,54.69,0.86,0.16,339,22,26,11,30.23,68.75,7.79,10,6,37,16,13,261.0,85.86,56.53,45.08,155.63,84.22,2,Internacional 1-3 Palmeiras,2026-02-12
RB Bragantino,1.25,1.4,-0.15,0.42,1.26,-0.84,0.06,0.15,-0.09,0.49,1.4,-0.91,0,2,-2,-1.85,39.9,48.34,46.46,0.12,0.26,142,6,9,13,75.0,50.0,9.56,6,5,10,3,24,49.7,34.32,98.33,88.32,107.37,52.43,0,Corinthians 2-0 RB Bragantino,2026-02-12
Corinthians,1.4,1.25,0.15,1.26,0.42,0.84,0.15,0.06,0.09,1.4,0.49,0.91,2,0,2,1.85,60.1,51.66,41.39,0.26,0.12,147,7,13,9,50.0,75.0,6.76,5,6,10,3,17,95.1,65.68,13.0,11.68,97.43,47.57,0,Corinthians 2-0 RB Bragantino,2026-02-12
Botafogo,0.67,1.84,-1.17,0.67,1.84,-1.17,0.0,0.0,0.0,0.67,1.84,-1.17,0,1,-1,0.17,51.7,50.18,48.56,0.41,0.42,204,5,5,10,12.2,23.81,9.48,2,5,9,0,11,72.1,41.82,20.87,28.43,49.17,28.44,1,Fluminense 1-0 Botafogo,2026-02-12
Fluminense,1.84,0.67,1.17,1.84,0.67,1.17,0.0,0.0,0.0,1.84,0.67,1.17,1,0,1,-0.17,48.3,49.82,48.31,0.42,0.41,166,9,10,5,23.81,12.2,7.84,5,2,10,4,18,100.3,58.18,52.53,71.57,123.73,71.56,0,Fluminense 1-0 Botafogo,2026-02-12
Santos,1.29,2.86,-1.57,1.26,2.0,-0.74,0.03,0.1,-0.07,1.29,2.1,-0.81,1,2,-1,0.57,43.2,41.56,49.33,0.4,0.82,165,7,10,12,25.0,14.63,10.97,4,6,6,2,15,53.9,38.5,57.07,65.7,58.9,46.48,1,Athletico Paranaense 2-1 Santos,2026-02-12
Athletico Paranaense,2.86,1.29,1.57,2.0,1.26,0.74,0.1,0.03,0.07,2.1,1.29,0.81,2,1,1,-0.57,56.8,58.44,45.96,0.82,0.4,188,12,12,10,14.63,25.0,6.77,6,4,20,8,15,86.1,61.5,29.8,34.3,67.83,53.52,4,Athletico Paranaense 2-1 Santos,2026-02-12
Grêmio,0.33,4.91,-4.58,0.28,3.28,-3.0,0.05,0.11,-0.06,0.33,3.39,-3.06,0,2,-2,2.58,42.5,32.65,44.41,0.36,1.69,156,9,5,18,13.89,10.65,14.81,3,6,12,3,16,41.8,15.61,91.67,81.7,49.13,15.48,0,São Paulo 2-0 Grêmio,2026-02-11
São Paulo,4.91,0.33,4.58,3.28,0.28,3.0,0.11,0.05,0.06,3.39,0.33,3.06,2,0,2,-2.58,57.5,67.35,52.73,1.69,0.36,328,20,18,5,10.65,13.89,10.15,6,3,19,3,11,225.9,84.39,20.53,18.3,268.33,84.52,0,São Paulo 2-0 Grêmio,2026-02-11
Bahia,0.83,1.81,-0.98,0.78,1.78,-1.0,0.05,0.03,0.02,0.83,1.81,-0.98,1,0,1,1.98,37.9,31.52,47.13,0.26,1.94,155,3,8,26,30.77,13.4,11.0,5,7,10,4,14,35.9,14.33,88.73,75.07,58.67,32.8,0,Vasco da Gama 0-1 Bahia,2026-02-11
Vasco da Gama,1.81,0.83,0.98,1.78,0.78,1.0,0.03,0.05,-0.02,1.81,0.83,0.98,0,1,-1,-1.98,62.1,68.48,52.24,1.94,0.26,296,30,26,8,13.4,30.77,8.03,7,5,44,8,15,214.7,85.67,29.47,24.93,120.2,67.2,0,Vasco da Gama 0-1 Bahia,2026-02-11
