Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
East Bengal,2.06,0.77,1.29,1.65,0.55,1.1,0.41,0.22,0.19,2.06,0.77,1.29,1,2,-1,-2.29,55.2,60.41,47.58,0.35,0.34,184,16,18,10,51.43,29.41,11.91,2,3,26,10,12,131.8,61.36,8.27,15.82,107.3,52.69,1,East Bengal 1-2 Jamshedpur,2026-02-27
Sporting Delhi,0.51,1.57,-1.06,0.14,0.74,-0.6,0.37,0.07,0.3,0.51,0.81,-0.3,0,1,-1,0.06,41.9,34.19,43.92,0.19,1.17,134,6,5,13,26.32,11.11,16.74,4,3,11,3,8,18.2,9.45,71.07,75.82,12.7,7.54,2,Goa 1-0 Sporting Delhi,2026-02-26
Goa,1.57,0.51,1.06,0.74,0.14,0.6,0.07,0.37,-0.3,0.81,0.51,0.3,1,0,1,-0.06,58.1,65.81,54.12,1.17,0.19,293,22,13,5,11.11,26.32,10.65,3,4,21,6,14,174.4,90.55,22.67,24.18,155.8,92.46,0,Goa 1-0 Sporting Delhi,2026-02-26
Inter Kashi,0.42,0.63,-0.21,0.37,0.39,-0.02,0.05,0.24,-0.19,0.42,0.63,-0.21,0,0,0,0.21,59.6,59.38,47.34,0.73,0.36,208,9,7,9,9.59,25.0,9.36,6,4,23,5,15,74.6,62.11,12.87,13.37,43.17,33.79,0,Odisha 0-0 Inter Kashi,2026-02-24
Odisha,0.63,0.42,0.21,0.39,0.37,0.02,0.24,0.05,0.19,0.63,0.42,0.21,0,0,0,-0.21,40.4,40.62,40.76,0.36,0.73,106,7,9,7,25.0,9.59,12.26,4,6,13,4,10,45.5,37.89,83.4,86.63,84.6,66.21,3,Odisha 0-0 Inter Kashi,2026-02-24
Chennaiyin,0.33,1.79,-1.46,0.33,1.73,-1.4,0.0,0.06,-0.06,0.33,1.79,-1.46,0,2,-2,-0.54,35.1,20.65,35.11,0.06,1.43,67,0,3,21,50.0,14.69,19.57,3,6,5,1,8,0.4,0.18,98.13,84.79,11.73,5.06,0,Mohun Bagan 2-0 Chennaiyin,2026-02-23
Mohun Bagan,1.79,0.33,1.46,1.73,0.33,1.4,0.06,0.0,0.06,1.79,0.33,1.46,2,0,2,0.54,64.9,79.35,49.5,1.43,0.06,324,24,21,3,14.69,50.0,11.7,6,3,34,8,10,225.7,99.82,17.6,15.21,219.97,94.94,0,Mohun Bagan 2-0 Chennaiyin,2026-02-23
Mumbai City,2.05,0.52,1.53,1.21,0.52,0.69,0.08,0.0,0.08,1.29,0.52,0.77,1,0,1,-0.53,43.6,46.85,48.49,0.19,0.82,168,8,12,9,63.16,10.98,19.72,1,2,14,3,6,68.5,46.98,60.93,57.81,69.03,64.33,2,Kerala Blasters 0-1 Mumbai City,2026-02-22
Kerala Blasters,0.52,2.05,-1.53,0.52,1.21,-0.69,0.0,0.08,-0.08,0.52,1.29,-0.77,0,1,-1,0.53,56.4,53.15,47.65,0.82,0.19,199,16,9,12,10.98,63.16,13.5,2,1,23,6,10,77.3,53.02,44.47,42.19,38.27,35.67,1,Kerala Blasters 0-1 Mumbai City,2026-02-22
NorthEast United,1.38,1.18,0.2,1.12,0.83,0.29,0.26,0.35,-0.09,1.38,1.18,0.2,1,1,0,-0.2,46.9,55.95,48.7,0.43,0.78,147,10,13,12,30.23,15.38,10.43,6,0,25,9,13,65.3,47.53,44.87,60.15,57.67,47.47,9,Bengaluru 1-1 NorthEast United,2026-02-22
