Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Gwangju,2.02,2.13,-0.11,1.26,1.67,-0.41,0.00,0.46,-0.46,1.26,2.13,-0.87,1,1,0,0.11,50.10,52.78,50.57,0.89,0.48,260,16,17,16,19.1,33.33,8.66,9,2,27,4,19,110.5,58.56,87.13,63.08,136.57,71.17,0,Gimcheon Sangmu 1-1 Gwangju,2026-03-17
Gimcheon Sangmu,2.13,2.02,0.11,1.67,1.26,0.41,0.46,0.00,0.46,2.13,1.26,0.87,1,1,0,-0.11,49.90,47.22,41.61,0.48,0.89,161,12,16,17,33.33,19.1,11.30,2,9,19,8,16,78.2,41.44,51.0,36.92,55.33,28.83,1,Gimcheon Sangmu 1-1 Gwangju,2026-03-17
Incheon United,1.56,0.77,0.79,1.37,0.75,0.62,0.19,0.02,0.17,1.56,0.77,0.79,1,1,0,-0.79,46.50,52.16,42.80,0.77,0.36,164,13,11,8,14.29,22.22,16.14,5,9,15,3,9,77.8,61.84,56.33,51.75,88.7,63.0,3,Pohang Steelers 1-1 Incheon United,2026-03-15
Pohang Steelers,0.77,1.56,-0.79,0.75,1.37,-0.62,0.02,0.19,-0.17,0.77,1.56,-0.79,1,1,0,0.79,53.50,47.84,41.72,0.36,0.77,148,9,8,11,22.22,14.29,10.66,9,5,14,3,13,48.0,38.16,52.53,48.25,52.1,37.0,2,Pohang Steelers 1-1 Incheon United,2026-03-15
Anyang,1.25,0.89,0.36,1.25,0.59,0.66,0.00,0.30,-0.30,1.25,0.89,0.36,1,1,0,-0.36,39.80,29.87,42.90,0.39,1.17,115,5,7,14,17.95,11.97,22.25,3,3,10,4,7,37.1,17.9,56.8,74.61,37.5,21.85,0,Gangwon 1-1 Anyang,2026-03-15
Gangwon,0.89,1.25,-0.36,0.59,1.25,-0.66,0.30,0.00,0.30,0.89,1.25,-0.36,1,1,0,0.36,60.20,70.13,50.75,1.17,0.39,259,20,14,7,11.97,17.95,9.23,3,3,44,14,9,170.2,82.1,19.33,25.39,134.13,78.15,0,Gangwon 1-1 Anyang,2026-03-15
Seoul,3.23,0.77,2.46,3.03,0.77,2.26,0.20,0.00,0.20,3.23,0.77,2.46,2,1,1,-1.46,61.80,57.14,45.86,0.89,0.54,215,18,17,10,19.1,18.52,7.52,6,3,22,8,13,102.2,72.38,8.93,8.02,53.47,41.32,1,Jeju FC 1-2 Seoul,2026-03-15
Jeju FC,0.77,3.23,-2.46,0.77,3.03,-2.26,0.00,0.20,-0.20,0.77,3.23,-2.46,1,2,-1,1.46,38.20,42.86,46.82,0.54,0.89,139,7,10,17,18.52,19.1,12.15,3,6,12,2,19,39.0,27.62,102.4,91.98,75.93,58.68,6,Jeju FC 1-2 Seoul,2026-03-15
Ulsan HD,3.40,0.74,2.66,2.38,0.73,1.65,0.25,0.00,0.25,2.64,0.74,1.90,2,1,1,-1.66,53.40,49.37,46.21,0.73,0.83,210,13,18,11,24.66,13.25,10.90,5,2,14,4,13,105.8,58.61,28.6,27.82,73.7,50.03,1,Bucheon 1995 1-2 Ulsan HD,2026-03-15
Bucheon 1995,0.74,3.40,-2.66,0.73,2.38,-1.65,0.00,0.25,-0.25,0.74,2.64,-1.90,1,2,-1,1.66,46.60,50.63,49.20,0.83,0.73,219,11,11,18,13.25,24.66,12.09,2,5,17,5,15,74.7,41.39,74.2,72.18,73.6,49.97,2,Bucheon 1995 1-2 Ulsan HD,2026-03-15
