Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Jelgava,1.85,0.77,1.08,1.83,0.59,1.24,0.02,0.18,-0.16,1.85,0.77,1.08,1,1,0,-1.08,53.6,60.47,52.45,0.42,0.4,222,15,15,16,35.71,40,7.33,7,3,25,8,19,130,70.65,41.6,61.47,160.73,76.93,4,Super Nova 1-1 Jelgava,2026-03-15
Super Nova,0.77,1.85,-1.08,0.59,1.83,-1.24,0.18,0.02,0.16,0.77,1.85,-1.08,1,1,0,1.08,46.4,39.53,45.66,0.4,0.42,143,10,16,15,40,35.71,10.96,3,7,28,6,11,54,29.35,26.07,38.53,48.2,23.07,3,Super Nova 1-1 Jelgava,2026-03-15
Daugavpils,1.44,4.96,-3.52,1.34,3.95,-2.61,0.09,0.25,-0.16,1.44,4.2,-2.76,2,4,-2,1.52,32.7,31.78,43.48,0.61,1.9,100,9,8,18,13.11,9.47,12.44,7,11,12,5,13,27.1,11.33,117.6,95.4,33.76,13.39,0,Riga FC 4-2 Daugavpils,2026-03-14
Riga FC,4.96,1.44,3.52,3.95,1.34,2.61,0.25,0.09,0.16,4.2,1.44,2.76,4,2,2,-1.52,67.3,68.22,48.88,1.9,0.61,266,26,18,8,9.47,13.11,6.17,11,7,29,8,13,212.1,88.67,5.67,4.6,218.33,86.61,7,Riga FC 4-2 Daugavpils,2026-03-14
Auda,2.88,0.52,2.36,2.67,0.45,2.22,0.22,0.07,0.15,2.88,0.52,2.36,2,0,2,-0.36,63.3,68.83,48.02,1.25,0.19,265,15,22,5,17.6,26.32,5.8,9,2,21,8,17,211.9,92.94,13.2,16.27,191.67,83.64,0,Grobiņa 0-2 Auda,2026-03-14
Grobiņa,0.52,2.88,-2.36,0.45,2.67,-2.22,0.07,0.22,-0.15,0.52,2.88,-2.36,0,2,-2,0.36,36.7,31.17,40.32,0.19,1.25,79,10,5,22,26.32,17.6,9.8,2,9,7,2,15,16.1,7.06,67.93,83.73,37.5,16.36,5,Grobiņa 0-2 Auda,2026-03-14
RFS,0.86,0.27,0.59,0.7,0.27,0.43,0.15,0,0.15,0.86,0.27,0.59,1,0,1,0.41,47.4,56.02,48.84,0.72,0.34,232,12,11,4,15.28,11.76,12.21,7,6,18,7,10,152.9,66.74,55.2,63.4,168.87,84.35,1,Liepāja 0-1 RFS,2026-03-13
Liepāja,0.27,0.86,-0.59,0.27,0.7,-0.43,0,0.15,-0.15,0.27,0.86,-0.59,0,1,-1,-0.41,52.6,43.98,41.57,0.34,0.72,169,10,4,11,11.76,15.28,9.32,6,7,13,5,17,76.2,33.26,31.87,36.6,31.33,15.65,2,Liepāja 0-1 RFS,2026-03-13
Super Nova,0.91,1.78,-0.87,0.67,0.85,-0.18,0.24,0.18,0.06,0.91,1.02,-0.11,1,2,-1,-0.13,42.6,40.49,43.36,0.59,0.56,132,8,9,14,15.25,25,6.81,10,4,25,5,15,52.5,30.12,70.4,62.45,43.7,25.28,0,Auda 2-1 Super Nova,2026-03-08
Auda,1.78,0.91,0.87,0.85,0.67,0.18,0.18,0.24,-0.06,1.02,0.91,0.11,2,1,1,0.13,57.4,59.51,46.27,0.56,0.59,190,10,14,9,25,15.25,8.87,4,10,23,9,19,121.8,69.88,42.33,37.55,129.17,74.72,0,Auda 2-1 Super Nova,2026-03-08
Tukums,1.32,1.64,-0.32,1.13,1.41,-0.28,0.19,0.23,-0.04,1.32,1.64,-0.32,1,2,-1,-0.68,53.9,47.56,46.98,1.49,0.9,220,14,16,11,10.74,12.22,8.81,8,3,24,6,17,100.6,50.05,19.27,31.28,77.63,38.29,1,Jelgava 2-1 Tukums,2026-03-08
Jelgava,1.64,1.32,0.32,1.41,1.13,0.28,0.23,0.19,0.04,1.64,1.32,0.32,2,1,1,0.68,46.1,52.44,50.52,0.9,1.49,215,18,11,16,12.22,10.74,10.72,3,8,20,5,8,100.4,49.95,42.33,68.72,125.1,61.71,0,Jelgava 2-1 Tukums,2026-03-08
Riga FC,1.17,2.42,-1.25,0.65,0.9,-0.25,0.52,0,0.52,1.17,0.9,0.27,1,2,-1,0.25,63.1,48.55,46.4,0.91,1.19,256,13,13,11,14.29,9.24,7.2,3,8,26,4,13,101.3,52.82,3.93,2.8,43.53,17.91,0,Liepāja 2-1 Riga FC,2026-03-07
Liepāja,2.42,1.17,1.25,0.9,0.65,0.25,0,0.52,-0.52,0.9,1.17,-0.27,2,1,1,-0.25,36.9,51.45,54.35,1.19,0.91,183,21,11,13,9.24,14.29,11.65,8,3,16,1,16,90.5,47.18,136.53,97.2,199.53,82.09,6,Liepāja 2-1 Riga FC,2026-03-07
Grobiņa,1.17,0.52,0.65,1.08,0.5,0.58,0.09,0.02,0.07,1.17,0.52,0.65,1,0,1,0.35,38.3,40.17,45.97,0.89,0.49,124,15,15,10,16.85,20.41,9.78,5,6,16,4,16,74.4,42.18,87.6,88.24,120.03,71.9,2,Daugavpils 0-1 Grobiņa,2026-03-07
Daugavpils,0.52,1.17,-0.65,0.5,1.08,-0.58,0.02,0.09,-0.07,0.52,1.17,-0.65,0,1,-1,-0.35,61.7,59.83,46.56,0.49,0.89,222,6,10,15,20.41,16.85,6.69,6,5,23,6,18,102,57.82,11.67,11.76,46.9,28.1,0,Daugavpils 0-1 Grobiņa,2026-03-07
Ogre United,0.02,2.31,-2.29,0.02,1.84,-1.82,0,0.47,-0.47,0.02,2.31,-2.29,0,2,-2,0.29,32.3,18.18,35.74,0.07,2.13,76,2,1,21,14.29,9.86,16.67,2,12,6,1,25,0.5,0.15,78.8,81.3,0.43,0.14,1,RFS 2-0 Ogre United,2026-03-06
RFS,2.31,0.02,2.29,1.84,0.02,1.82,0.47,0,0.47,2.31,0.02,2.29,2,0,2,-0.29,67.7,81.82,53.9,2.13,0.07,348,25,21,1,9.86,14.29,4.35,12,2,33,8,16,340.2,99.85,18.13,18.7,299.57,99.86,0,RFS 2-0 Ogre United,2026-03-06
